notes: Ngpl50 lines up with mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,state,ngpl_50
601,626,635,634,646,688,690,655,697,710,675,677,611,645,614,629,650,667,714,745,784,865,931,1124,1193,1277,1333,1557,1789,1914,1970,1970,1970,1970,US,1
4,4,4,4,4,4,4,4,8,10,3,3,2,2,2,3,2,7,5,6,6,5,6,5,4,4,3,3,3,2,2,2,2,2,AL,2
24,27,27,26,30,33,35,24,21,22,20,20,18,18,17,14,13,13,13,11,11,11,11,17,10,10,10,10,10,18,18,18,18,18,AK,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,4
8,10,9,8,9,9,8,7,8,8,8,10,10,10,11,11,11,11,11,10,10,10,11,10,9,7,6,6,6,5,5,5,5,5,CA,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,CA-COASTAL ON,6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA-LA ON,7
7,8,8,7,8,8,7,6,7,7,7,9,9,9,10,10,10,10,10,9,9,9,10,9,8,7,6,6,6,5,5,5,5,5,CA-SJ ON,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA-OFF,9
12,13,14,15,18,17,21,18,19,21,22,23,24,26,26,26,27,38,48,58,63,57,52,61,74,82,91,101,102,130,137,137,137,137,CO,10
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL,11
26,27,27,29,29,31,24,28,30,28,26,25,22,22,19,18,18,18,16,16,16,15,11,12,10,13,13,13,11,10,10,10,10,10,KS,12
2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,KY,13
44,49,42,43,68,65,41,37,45,41,35,35,33,31,29,28,30,27,26,25,23,24,29,26,29,31,23,20,37,18,19,19,19,19,LA,14
6,6,5,6,7,8,7,5,4,4,3,3,4,4,4,5,6,6,6,5,5,5,6,7,8,10,10,9,7,6,5,5,5,5,LA-NORTH,15
33,36,34,34,58,48,31,29,37,32,23,23,20,20,20,19,18,15,15,15,14,16,20,17,18,19,10,9,26,8,9,9,9,9,LA-SOUTH,16
5,7,3,3,3,9,3,3,4,5,9,9,9,7,5,4,6,6,5,5,4,3,3,2,3,2,3,2,4,4,5,5,5,5,LA-OFF,17
6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,3,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,MI,18
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MS,19
1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MT,20
47,53,58,60,59,75,75,74,74,77,77,75,76,73,70,68,66,64,65,63,62,58,60,61,65,58,67,87,120,134,139,139,139,139,NM,21
25,28,32,34,34,44,40,39,37,38,38,38,38,35,33,32,32,30,32,32,30,29,32,35,41,36,47,65,94,106,112,112,112,112,NM-EAST,22
22,25,26,26,25,31,35,35,37,39,39,37,38,38,37,36,34,34,33,31,32,29,28,26,24,22,20,22,26,28,27,27,27,27,NM-WEST,23
5,5,5,4,4,4,4,4,4,5,5,5,4,5,5,6,6,6,8,9,11,19,26,36,63,78,93,102,115,119,143,143,143,143,ND,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,44,37,35,33,33,33,33,OH,25
76,77,77,76,70,74,71,69,70,69,66,61,59,64,65,67,69,74,77,82,88,96,99,117,118,123,138,175,201,181,180,180,180,180,OK,26
253,264,272,267,268,277,275,270,254,268,252,256,229,250,247,260,272,282,300,311,340,402,475,558,565,597,584,705,835,939,955,955,955,955,TX,27
4,4,4,3,3,4,5,3,17,4,4,4,2,3,3,3,4,4,5,8,6,9,20,24,20,18,20,26,23,16,22,22,22,22,TX-RRC1,28
11,12,13,12,12,12,10,10,10,11,9,10,9,10,11,12,13,12,11,13,18,29,63,106,160,162,155,151,130,124,131,131,131,131,TX-RRC2,29
26,32,35,36,37,41,36,33,31,32,28,28,23,27,26,28,25,24,25,25,29,30,27,29,30,23,20,20,24,22,22,22,22,22,TX-RRC3,30
32,35,37,36,36,39,42,42,42,42,40,41,32,38,33,35,37,35,35,33,38,60,91,79,30,26,23,23,32,32,23,23,23,23,TX-RRC4,31
5,5,5,5,4,4,4,4,2,4,3,3,3,3,3,3,3,9,15,16,16,22,15,15,14,13,12,18,23,26,26,26,26,26,TX-RRC5,32
19,21,23,24,24,24,22,23,18,22,23,21,19,21,22,24,26,26,26,25,25,27,34,34,33,30,27,27,25,26,23,23,23,23,TX-RRC6,33
13,10,10,9,9,8,8,6,5,6,6,6,5,7,7,8,13,21,27,24,25,27,27,25,23,18,16,23,13,11,8,8,8,8,TX-RRC7B,34
19,23,24,24,26,29,34,31,30,33,26,29,26,27,27,29,30,28,28,31,36,33,30,31,37,42,44,59,66,84,95,95,95,95,TX-RRC7C,35
52,50,51,50,50,45,47,53,49,51,52,48,46,45,43,43,43,42,44,47,46,59,64,98,110,135,172,263,407,515,528,528,528,528,TX-RRC8,36
22,21,20,19,19,20,19,19,18,17,17,16,15,18,19,18,19,17,18,18,18,19,19,20,19,18,18,18,18,17,17,17,17,17,TX-RRC8A,37
14,13,13,13,13,17,13,13,14,14,14,21,23,22,23,24,24,25,26,29,33,37,38,46,43,41,36,35,35,31,28,28,28,28,TX-RRC9,38
36,38,37,36,35,34,35,33,18,32,30,29,26,29,30,33,35,39,40,42,50,50,47,51,46,71,41,42,39,35,32,32,32,32,TX-RRC10,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TX-OFF,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,11,11,11,13,11,9,8,9,7,6,6,6,6,6,UT,41
7,7,7,6,4,4,4,4,4,6,6,6,4,4,4,5,5,5,5,5,5,8,10,41,57,69,93,111,132,151,156,156,156,156,WV,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58,64,63,66,71,53,55,35,41,44,46,41,41,39,39,39,39,WY,43
51,48,52,52,37,42,71,68,80,93,91,94,70,81,61,67,69,53,61,66,57,61,49,52,52,52,60,59,61,52,54,54,54,54,L48 FED OFF,44
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FED OFF-CA,45
46,41,45,46,31,35,64,63,75,88,87,89,67,78,59,65,68,52,61,66,57,54,42,47,46,45,55,54,55,47,49,49,49,49,FED OFF-LA AL,46
5,6,6,5,5,6,6,4,5,5,4,5,3,3,2,2,1,1,0,0,0,7,7,5,6,7,5,5,6,5,5,5,5,5,FED OFF-TX,47
577,599,608,608,616,655,655,631,649,688,655,657,593,627,597,615,637,654,701,734,773,854,920,1107,1183,1267,1323,1547,1779,1896,1952,1952,1952,1952,L48,48
34,32,32,34,37,44,49,40,45,55,54,55,52,52,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UT & WY,49
